post_pred
The statue is now broken.
The bowl is now empty.
The laptop is now broken.
The keys are now on the bed.
The cup is now empty.
The bowl is now full of water.
The bowl is now dirty.
The cabinet is now open.
The toilet seat is now up.
The potato is now cooked.
The apple is now cooked.
The potato is now in the robot's hand.
The bowl is now empty.
The cabinet is now closed.
The cabinet is now open.
The potato is now cooked.
The cloth is now in the robot's hand.
The laptop is now in the robot's hand.
The potato is now cooked.
The bottle is now broken.
The apple is now sliced.
The stove is now off.
The potato is now cooked.
The credit card is now in the robot's hand.
The apple is now off the stove.
The stove is now on.
The potato is now in slices.
The toilet is now open.
The cup is now broken.
The plate is now inside the cabinet.
The cup is now empty.
The cloth is now dirty.
The stove is now off.
The apple is now sliced.
The potato is now in the pot.
The apple is now cooked.
The statue is now broken.
The stove is now on.
The tomato cooks.
The stove is now turned on.
The apple is now in the robot's hand.
The laptop is now broken.
The pan is now on the stove.
The pot is now hot and the tomato is cooked.
The potato is now in slices.
The cabinet is now open.
The laptop is now on the side table.
The cabinet is now closed.
The apple is now sliced.
The bowl is now in the robot's hand.
The statue is now on the coffee table.
The remote is now on the chair.
The pot is now dirty.
The cup is now empty.
The potato is now cooked.
The pot is now dirty.
The cabinet is now open.
The cabinet is now open.
The cabinet is now closed.
The toilet is now open.
The cabinet is now open.
The coffee machine is now off.
The cabinet is now open.
The stove is now on.
The tomato is now in the robot's hand.
The potato is now cooking.
The cabinet is now open.
The apple is now sliced in two.
The tomato is now cooked.
The tomato is cooked.
The cabinet is now open.
The cabinet is now empty.
The potato is now in the pot.
The cloth is now dirty.
The cabinet is now open.
The coffee machine is now off.
The burner is now hot.
The cabinet is now open.
The tomato is now sliced.
The tomato is now in the robot's hand.
The pot is now empty.
The stove is now off.
The cabinet is now closed and the cloth is still clean.
The sink is now clean.
The egg is now cooked.
The cloth is now in the robot's hand.
The cabinet is now closed.
The tomato is now cooked.
The watch is now on the table.
The coffee machine is now off.
The plate is now out of the cabinet.
The machine is now off.
The cup is now empty.
The cloth is now dirty.
The apple is now cooked.
The laptop is now on the floor.
The toilet is now closed.
The laptop is now on the desk.
The towel is now on the towel holder.
The tomato is now sliced.
The potato is now sliced.
The pot is now dirty.
The bottle is now empty.
The object is now in a different location.
The cabinet is now closed.
The potato is now in two pieces.
The cabinet is now closed.
The cabinet is now open.
The apple is now in the robot's hand.
The lamp is now off.
The cabinet is now closed.
The cabinet is now closed.
The stove is now on.
The mug is now empty.
The bowl is now broken.
The cloth is now inside the cabinet.
The coffee machine is turned on and the mug starts to fill with coffee.
The apple is now cooked.
The potato is now cooking.
The statue is now broken.
The coffee maker is now turned off.
The potato is now in the robot's hand.
The bowl is now empty.
The cabinet is now closed.
The floor is now clean.
The toilet paper is now on the floor.
The keychain is now in the robot's hand.
The burner is now off.
The apple is now cooked.
The credit card is now in the robot's hand.
The credit card is now in the robot's hand.
The cabinet is now closed.
The vase is now broken.
